Date,Price,Vol,Change
12/31/2020,80.62,0.92K,+0.25%
12/30/2020,80.42,0.50K,-0.54%
12/29/2020,80.86,4.72K,+0.93%
12/24/2020,80.11,0.50K,-0.37%
12/23/2020,80.40,3.89K,-1.20%
12/22/2020,81.39,1.45K,0.00%
12/21/2020,81.39,2.29K,+0.89%
12/18/2020,80.67,1.57K,+0.71%
12/17/2020,80.11,2.23K,-0.51%
12/16/2020,80.51,2.04K,-0.31%
12/15/2020,80.76,2.15K,-0.66%
12/14/2020,81.31,2.12K,-0.95%
12/11/2020,82.08,0.27K,+0.71%
12/10/2020,81.51,3.71K,+0.84%
12/09/2020,80.83,1.47K,-0.36%
12/08/2020,81.13,1.95K,-0.01%
12/07/2020,81.14,0.95K,+1.06%
12/04/2020,80.29,6.67K,-0.20%
12/03/2020,80.44,1.91K,-0.61%
12/02/2020,80.94,0.83K,+0.44%
12/01/2020,80.58,0.74K,-0.48%
11/30/2020,80.97,2.85K,+0.06%
11/27/2020,80.93,2.55K,+0.19%
11/26/2020,80.77,1.62K,+0.48%
11/25/2020,80.39,3.49K,-0.18%
11/24/2020,80.53,1.55K,-0.24%
11/23/2020,80.72,1.10K,-0.03%
11/20/2020,80.75,3.16K,-0.27%
11/19/2020,80.97,0.53K,+0.54%
11/18/2020,80.54,0.63K,-0.08%
11/17/2020,80.60,4.44K,-0.22%
11/16/2020,80.78,1.67K,+0.02%
11/13/2020,80.76,0.12K,+0.04%
11/12/2020,80.74,0.58K,+0.80%
11/11/2020,80.10,0.63K,-0.12%
11/10/2020,80.19,0.92K,-0.61%
11/09/2020,80.68,2.13K,-0.43%
11/06/2020,81.04,2.14K,-0.44%
11/05/2020,81.39,2.23K,-0.23%
11/04/2020,81.58,0.41K,+1.42%
11/03/2020,80.44,1.00K,-1.09%
11/02/2020,81.32,0.87K,+0.59%
10/30/2020,80.85,0.33K,-0.60%
10/29/2020,81.33,0.29K,+0.13%
10/28/2020,81.23,2.20K,+0.31%
10/27/2020,80.97,1.08K,-0.09%
10/26/2020,81.05,2.81K,+0.24%
10/23/2020,80.86,0.79K,+0.45%
10/22/2020,80.50,0.50K,-0.01%
10/21/2020,80.50,1.24K,-1.22%
10/20/2020,81.50,3.43K,+0.14%
10/19/2020,81.39,0.85K,-0.41%
10/16/2020,81.72,3.18K,+0.03%
10/15/2020,81.69,1.55K,+0.62%
10/14/2020,81.19,0.87K,-0.25%
10/13/2020,81.39,0.59K,+0.70%
10/12/2020,80.82,10.20K,-0.30%
10/09/2020,81.07,2.74K,-0.39%
10/08/2020,81.39,1.04K,+0.09%
10/07/2020,81.32,1.05K,+0.26%
10/06/2020,81.11,4.62K,+0.10%
10/05/2020,81.03,1.23K,-0.14%
10/02/2020,81.14,0.40K,-0.34%
10/01/2020,81.42,0.55K,+0.20%
09/30/2020,81.26,8.51K,-0.56%
09/29/2020,81.72,1.78K,+0.28%
09/28/2020,81.49,0.38K,-0.85%
09/25/2020,82.18,0.33K,-0.09%
09/24/2020,82.25,0.11K,-0.16%
09/23/2020,82.39,1.54K,-0.24%
09/22/2020,82.58,0.70K,+0.25%
09/21/2020,82.38,0.24K,+0.78%
09/18/2020,81.74,0.01K,-0.01%
09/17/2020,81.75,0.58K,-0.73%
09/16/2020,82.35,0.95K,-0.90%
09/15/2020,83.10,0.36K,+0.11%
09/14/2020,83.00,0.22K,-0.52%
09/11/2020,83.43,0.04K,+0.84%
09/10/2020,82.74,0.58K,+1.01%
09/09/2020,81.91,0.19K,+0.07%
