ST,CB,PB,GO,CA,RETURN,VOLAT
0,0,0,0,100,-6.691565515094937,3.2709745144181577
0,0,0,20,80,-0.5724257361467977,1.592577015209511
0,0,0,40,60,5.546714042801341,2.3283265573111103
0,0,0,60,40,11.665853821749465,4.173273892172253
0,0,0,80,20,17.78499360069759,6.076110484801372
0,0,0,100,0,23.904133379645728,7.911983980876408
0,0,20,0,80,-5.309032576321044,2.8341272542975315
0,0,20,20,60,0.8101072026270799,1.4342215364303306
0,0,20,40,40,6.929246981575204,2.5915592023314815
0,0,20,60,20,13.048386760523343,4.488545866544349
0,0,20,80,0,19.16752653947148,6.388060594673235
0,0,40,0,60,-3.9264996375471526,2.4290908238873357
0,0,40,20,40,2.1926401414009717,1.420796331806325
0,0,40,40,20,8.311779920349096,2.89399554443919
0,0,40,60,0,14.43091969929722,4.814417932443868
0,0,60,0,40,-2.543966698773289,2.0689872776559275
0,0,60,20,20,3.57517308017485,1.549917726964178
0,0,60,40,0,9.694312859122988,3.2221778201102613
0,0,80,0,20,-1.1614337599993974,1.7750484373087887
0,0,80,20,0,4.957706018948741,1.7859153530657756
0,0,100,0,0,0.2210991787744803,1.5778343752330029
0,20,0,0,80,-4.569545271060221,2.4148476766816582
0,20,0,20,60,1.5495945078879174,1.4176931678873315
0,20,0,40,40,7.668734286836042,2.9191625727571817
0,20,0,60,20,13.787874065784166,4.852744221311212
0,20,0,80,0,19.907013844732305,6.751897190066559
0,20,20,0,60,-3.1870123322863293,2.0213575254535607
0,20,20,20,40,2.9321274466618092,1.5148496001583978
0,20,20,40,20,9.05126722560992,3.2327857627874623
0,20,20,60,0,15.17040700455806,5.177495986560833
0,20,40,0,40,-1.8044793935124517,1.6849085223368931
0,20,40,20,20,4.314660385435687,1.7292961202286092
0,20,40,40,0,10.433800164383825,3.566398461356231
0,20,60,0,20,-0.4219464547385741,1.4383795749337245
0,20,60,20,0,5.6971933242095645,2.019681283334627
0,20,80,0,0,0.9605864840353178,1.3248576012353626
0,40,0,0,60,-2.447525027025506,1.7128059426604965
0,40,0,20,40,3.671614751922618,1.7818132716448405
0,40,0,40,20,9.790754530870757,3.6165191189494803
0,40,0,60,0,15.909894309818895,5.562513629914647
0,40,20,0,40,-1.0649920882516142,1.4305810981459155
0,40,20,20,20,5.05414769069651,2.0423765188578784
0,40,20,40,0,11.173287469644634,3.9495035427956786
0,40,40,0,20,0.31754085052226344,1.2743251810025327
0,40,40,20,0,6.436680629470402,2.3559062565437467
0,40,60,0,0,1.700073789296141,1.2827754482715308
0,60,0,0,40,-0.3255047829907909,1.3767005334565992
0,60,0,20,20,5.7936349959573334,2.4366642246412042
0,60,0,40,0,11.912774774905472,4.360497385068774
0,60,20,0,20,1.0570281557830867,1.3444612662025694
0,60,20,20,0,7.176167934731225,2.75604774871582
0,60,40,0,0,2.4395610945569786,1.4671180699484672
0,80,0,0,20,1.79651546104391,1.6161455352025338
0,80,0,20,0,7.915655239992048,3.1950707480176184
0,80,20,0,0,3.1790483998178014,1.8078148080670198
0,100,0,0,0,3.9185357050786394,2.2327265131060186
20,0,0,0,80,-4.326478168795205,2.116356235962271
20,0,0,20,60,1.7926616101529333,1.3705982834757424
20,0,0,40,40,7.911801389101073,3.131640163200406
20,0,0,60,20,14.030941168049182,5.1357821830271
20,0,0,80,0,20.15008094699732,7.073027938442595
20,0,20,0,60,-2.9439452300213134,1.7303496520832955
20,0,20,20,40,3.175194548926811,1.567886653372364
20,0,20,40,20,9.29433432787495,3.471383299335002
20,0,20,60,0,15.413474106823074,5.473178313920981
20,0,40,0,40,-1.5614122912474215,1.420233029100485
20,0,40,20,20,4.557727487700703,1.8586334092100063
20,0,40,40,0,10.676867266648827,3.8256975839969924
20,0,60,0,20,-0.17887935247355813,1.2350295628538728
20,0,60,20,0,5.94026042647458,2.20200062856433
20,0,80,0,0,1.2036535863003337,1.2236433829291757
20,20,0,0,60,-2.204457924760476,1.5523724820348557
20,20,0,20,40,3.914681854187649,1.9835797093740455
20,20,0,40,20,10.033821633135773,3.910628247708789
20,20,0,60,0,16.152961412083897,5.891941027758679
20,20,20,0,40,-0.8219249859866125,1.3399046140776907
20,20,20,20,20,5.297214792961526,2.2874076323265125
20,20,20,40,0,11.416354571909665,4.257775461100924
20,20,40,0,20,0.5606079527872794,1.2857650435840562
20,20,40,20,0,6.679747731735418,2.6300595138068785
20,20,60,0,0,1.9431408915611712,1.400853451928794
20,40,0,0,40,-0.08243768072577495,1.4941676614310868
20,40,0,20,20,6.036702098222364,2.7587140200770586
20,40,0,40,0,12.155841877170502,4.708569785112359
20,40,20,0,20,1.3000952580481169,1.5579015180046754
20,40,20,20,0,7.419235036996255,3.094325461995676
20,40,40,0,0,2.6826281968220087,1.7495373480432563
20,60,0,0,20,2.03958256330894,1.9592062851399008
20,60,0,20,0,8.158722342257079,3.5796986050086854
20,60,20,0,0,3.422115502082832,2.187369543938273
20,80,0,0,0,4.16160280734364,2.6693483248553846
40,0,0,0,60,-1.9613908224954741,2.480472660254833
40,0,0,20,40,4.15774895645265,2.962313108658659
40,0,0,40,20,10.276888735400789,4.629076910210595
40,0,0,60,0,16.396028514348927,6.501591318531672
40,0,20,0,40,-0.5788578837215823,2.401042642065991
40,0,20,20,20,5.540281895226542,3.2146678657735537
40,0,20,40,0,11.659421674174666,4.954255674070138
40,0,40,0,20,0.8036750550522952,2.4205337373450835
40,0,40,20,0,6.922814834000433,3.505160821108518
40,0,60,0,0,2.186207993826173,2.5323486761463134
40,20,0,0,40,0.1606294215392552,2.610507045952295
40,20,0,20,20,6.2797692004873795,3.6536800549603745
40,20,0,40,0,12.398908979435504,5.407231615110863
40,20,20,0,20,1.5431623603131328,2.692044598647983
40,20,20,20,0,7.662302139261272,3.947221562546072
40,20,40,0,0,2.9256952990870104,2.850763348089706
40,40,0,0,20,2.282649665573956,3.0480212999613414
40,40,0,20,0,8.401789444522095,4.412699042881192
40,40,20,0,0,3.6651826043478475,3.2377813663266855
40,60,0,0,0,4.404669909608671,3.6706198998579307
60,0,0,0,40,0.4036965238042569,4.014165588963847
60,0,0,20,20,6.5228363027523955,4.856749063938206
60,0,0,40,0,12.641976081700534,6.373216276034702
60,0,20,0,20,1.7862294625781487,4.090247165732278
60,0,20,20,0,7.905369241526287,5.102837170066395
60,0,40,0,0,3.1687624013520406,4.219461563415187
60,20,0,0,20,2.525716767838972,4.408020668694318
60,20,0,20,0,8.64485654678711,5.532459782532314
60,20,20,0,0,3.908249706612864,4.562688576426929
60,40,0,0,0,4.647737011873687,4.94810133417687
80,0,0,0,20,2.768783870103988,5.8969355105154015
80,0,0,20,0,8.887923649052127,6.833412915748878
80,0,20,0,0,4.15131680887788,6.024425431701921
80,20,0,0,0,4.890804114138703,6.376602105718241
100,0,0,0,0,5.133871216403719,7.9099297273949
