Date,Price,Vol,Change
12/30/2020,253.84,1.98K,+0.01%
12/29/2020,253.82,1.69K,+0.11%
12/28/2020,253.55,1.49K,-0.25%
12/23/2020,254.18,3.36K,-0.37%
12/22/2020,255.13,4.34K,+0.28%
12/21/2020,254.41,7.98K,+0.02%
12/18/2020,254.35,3.20K,-0.06%
12/17/2020,254.50,2.28K,-0.23%
12/16/2020,255.09,5.94K,-0.05%
12/15/2020,255.23,3.09K,-0.11%
12/14/2020,255.52,2.98K,-0.13%
12/11/2020,255.84,2.50K,+0.17%
12/10/2020,255.41,1.94K,-0.11%
12/09/2020,255.69,3.24K,+0.21%
12/08/2020,255.16,0.21K,+0.17%
12/07/2020,254.72,2.79K,+0.39%
12/04/2020,253.74,15.91K,+0.39%
12/03/2020,252.75,12.27K,-1.13%
12/02/2020,255.63,20.49K,+0.17%
12/01/2020,255.20,2.93K,-0.87%
11/30/2020,257.43,1.98K,-0.05%
11/27/2020,257.57,3.70K,-0.17%
11/26/2020,258.01,6.91K,+0.05%
11/25/2020,257.88,1.97K,+0.10%
11/24/2020,257.63,7.81K,-0.44%
11/23/2020,258.78,16.07K,-0.03%
11/20/2020,258.85,3.19K,+0.15%
11/19/2020,258.47,1.68K,+0.02%
11/18/2020,258.41,3.32K,+0.29%
11/17/2020,257.67,3.72K,+0.03%
11/16/2020,257.60,3.93K,-0.59%
11/13/2020,259.12,3.72K,+0.63%
11/12/2020,257.51,4.42K,-0.53%
11/11/2020,258.87,2.85K,+0.84%
11/10/2020,256.72,1.52K,-0.70%
11/09/2020,258.53,5.82K,+0.02%
11/06/2020,258.47,2.76K,-0.46%
11/05/2020,259.67,1.28K,-0.36%
11/04/2020,260.60,4.00K,+0.47%
11/03/2020,259.37,3.67K,-0.49%
11/02/2020,260.66,1.01K,+0.14%
10/30/2020,260.30,2.76K,-0.12%
10/29/2020,260.61,24.11K,+0.56%
10/28/2020,259.17,2.27K,+0.26%
10/27/2020,258.50,1.46K,+0.23%
10/26/2020,257.90,2.89K,+0.46%
10/23/2020,256.71,1.66K,-0.24%
10/22/2020,257.34,5.23K,-0.54%
10/21/2020,258.75,12.17K,+0.30%
10/20/2020,257.98,0.98K,-0.20%
10/19/2020,258.50,6.98K,-0.57%
10/16/2020,259.99,1.93K,+0.04%
10/15/2020,259.89,7.92K,+0.13%
10/14/2020,259.56,1.08K,+0.24%
10/13/2020,258.95,2.98K,+0.31%
10/12/2020,258.14,6.05K,+0.24%
10/09/2020,257.51,1.30K,-0.04%
10/08/2020,257.62,1.49K,+0.06%
10/07/2020,257.47,0.89K,+0.01%
10/06/2020,257.45,3.95K,-0.08%
10/05/2020,257.65,1.64K,-0.67%
10/02/2020,259.38,2.36K,+0.27%
10/01/2020,258.68,9.88K,+0.10%
09/30/2020,258.42,0.69K,-0.34%
09/29/2020,259.30,1.05K,-0.32%
09/28/2020,260.13,2.35K,-0.17%
09/25/2020,260.56,4.95K,+0.20%
09/24/2020,260.03,1.40K,+0.09%
09/23/2020,259.79,1.26K,+0.16%
09/22/2020,259.37,1.20K,+0.09%
09/21/2020,259.13,7.59K,+0.58%
09/18/2020,257.63,2.34K,-0.27%
09/17/2020,258.34,2.79K,+0.22%
09/16/2020,257.78,0.66K,+0.27%
09/15/2020,257.08,1.68K,+0.35%
09/14/2020,256.19,0.91K,-0.07%
09/11/2020,256.37,2.38K,+0.40%
09/10/2020,255.36,2.47K,-0.35%
09/09/2020,256.25,6.94K,-0.39%
09/08/2020,257.25,1.09K,+0.68%
09/07/2020,255.51,0.50K,-0.40%
09/04/2020,256.54,1.32K,-0.45%
09/03/2020,257.71,1.52K,-0.04%
09/02/2020,257.81,5.86K,+1.48%
09/01/2020,254.04,5.01K,-0.11%
08/31/2020,254.31,0.96K,-0.43%
08/28/2020,255.40,1.72K,-0.30%
08/27/2020,256.16,0.92K,-0.15%
08/26/2020,256.54,2.25K,-0.01%
