ST,CB,PB,GO,CA,RETURN,VOLAT
0,0,0,0,100,-6.691565515094927,3.270974514418157
0,0,0,20,80,1.827952919804705,1.5501775819702692
0,0,0,40,60,8.969163608536094,3.201479645378005
0,0,0,60,40,15.04151380575401,5.038111684505823
0,0,0,80,20,20.268267489034276,6.5985179160542256
0,0,0,100,0,24.814555633310007,7.911983980876408
0,0,20,0,80,-3.9509110262350453,2.4381004043012187
0,0,20,20,60,2.4323338440213007,1.437450770908639
0,0,20,40,40,8.004263110430959,2.730957467089105
0,0,20,60,20,12.91031257628121,4.229124875463267
0,0,20,80,0,17.263117059451094,5.563225686225269
0,0,40,0,60,-2.290978095585188,2.0112278659282508
0,0,40,20,40,2.811550151975697,1.419132124309956
0,0,40,40,20,7.380028129395214,2.4516715608993347
0,0,40,60,0,11.49412997455253,3.6988554354699636
0,0,60,0,40,-1.1778043711028419,1.7790028223471084
0,0,60,20,20,3.071672354948802,1.4312251241340808
0,0,60,40,0,6.943116177651964,2.273653410298618
0,0,80,0,20,-0.37944678281403826,1.6497658273064213
0,0,80,20,0,3.2611892527810937,1.4523758257061548
0,0,100,0,0,0.22109917877447885,1.5778343752330029
0,20,0,0,80,-4.869091851723832,2.5493414100817406
0,20,0,20,60,3.802288832616861,1.7657084643985337
0,20,0,40,40,11.022772241608827,3.816375103121635
0,20,0,60,20,17.128392397709348,5.680346299590481
0,20,0,80,0,22.358851084812624,7.227269501210289
0,20,20,0,60,-2.505606556848069,1.9280037143446016
0,20,20,20,40,3.9590587105294914,1.6196859842383642
0,20,20,40,20,9.580124293309787,3.1948959545111997
0,20,20,60,0,14.512603050017145,4.7256868068094695
0,20,40,0,40,-1.0969486288142232,1.6492931816072722
0,20,40,20,20,4.056073176953628,1.5734857444378592
0,20,40,40,0,8.657958883318768,2.818592951393106
0,20,60,0,20,-0.16174123544597055,1.5227944509513818
0,20,60,20,0,4.122028364452607,1.5635716697584294
0,20,80,0,0,0.5043650502530995,1.4684486326836022
0,40,0,0,60,-2.8903557187591358,1.8714841123060215
0,40,0,20,40,5.929853181076676,2.294630506826024
0,40,0,40,20,13.221955262520732,4.512985014691656
0,40,0,60,0,19.35141064756095,6.372088811996042
0,40,20,0,40,-0.9687406371716738,1.4923545324957095
0,40,20,20,20,5.5755534613542705,2.0020835928195964
0,40,20,40,0,11.242432977803402,3.7170022753351746
0,40,40,0,20,0.1570604616785744,1.374617720669158
0,40,40,20,0,5.3594966301076985,1.8645536400209626
0,40,60,0,0,0.8966060181945417,1.3514735415516237
0,60,0,0,40,-0.7343595537353438,1.413920836366859
0,60,0,20,20,8.229204234465506,3.017662866217515
0,60,0,40,0,15.58276048505447,5.280000270289474
0,60,20,0,20,0.6686721100128858,1.263777963949792
0,60,20,20,0,7.289975487855346,2.516766282993416
0,60,40,0,0,1.4756850427813277,1.2713789683446641
0,80,0,0,20,1.6238326392824494,1.531742035087592
0,80,0,20,0,10.72202325684222,3.8665688450066606
0,80,20,0,0,2.4168325277224905,1.4036796939181286
0,100,0,0,0,4.21406411582213,2.232726513106019
20,0,0,0,80,-2.7251572869085647,2.170089658287552
20,0,0,20,60,4.164937924871541,2.3718520220687047
20,0,0,40,40,10.102945764071489,3.992530926623782
20,0,0,60,20,15.273454868830601,5.544772322003929
20,0,0,80,0,19.816233571307393,6.890149927226295
20,0,20,0,60,-1.193965049386736,1.584856767747329
20,0,20,20,40,4.225639716674116,1.9467262584030551
20,0,20,40,20,9.037900874635577,3.3348540083686227
20,0,20,60,0,13.339493708431718,4.674965611901144
20,0,40,0,40,-0.20023939234615282,1.2947948250023904
20,0,40,20,20,4.2660882140274845,1.7192516502945816
20,0,40,40,0,8.3114646132023,2.9111462993283364
20,0,60,0,20,0.4967549152090818,1.1626555260552034
20,0,60,20,0,4.294970519351527,1.59575551979202
20,0,80,0,0,1.0126603240844332,1.1155377803105129
20,20,0,0,60,-1.0871114913031081,2.1556544181403585
20,20,0,20,40,5.893389069005815,2.965422614698312
20,20,0,40,20,11.881248662365866,4.639121433230122
20,20,0,60,0,17.074145436380494,6.172001230536868
20,20,20,0,40,0.12673918190553687,1.59652791144005
20,20,20,20,20,5.6008999110553,2.418407980983858
20,20,20,40,0,10.447209104472092,3.8457659051022053
20,20,40,0,20,0.9052463138644499,1.3301801655108605
20,20,40,20,0,5.408015975515777,2.104461645228234
20,20,60,0,0,1.44699987400538,1.2139267745421245
20,40,0,0,40,0.6659410798944723,2.414441637366992
20,40,0,20,20,7.733605164797823,3.641667735789907
20,40,0,40,0,13.766119254932219,5.327798842287761
20,40,20,0,20,1.519356777017938,1.8236662230236682
20,40,20,20,0,7.046372184737557,2.9460636321457865
20,40,40,0,0,2.0598922733592633,1.5339009348987451
20,60,0,0,20,2.546552976713949,2.91188551249905
