ST,CB,PB,GO,CA,RETURN,VOLAT
0,0,0,0,100,-6.691565515094927,3.2733062781797653
0,0,0,20,80,1.6260316141338116,1.550113516912046
0,0,0,40,60,8.572616840244681,3.2005668702560324
0,0,0,60,40,14.461361125786468,5.037489108142084
0,0,0,80,20,19.51680328478556,6.598223330688436
0,0,0,100,0,23.904133379645724,7.911983980876408
0,0,20,0,80,-3.9509110262350453,2.439112014630138
0,0,20,20,60,2.275641025641023,1.4370254647453167
0,0,20,40,40,7.695242247533927,2.7303979388928306
0,0,20,60,20,12.455215477530974,4.228852596060566
0,0,20,80,0,16.669078979109397,5.563225686225269
0,0,40,0,60,-2.290978095585188,2.01159292457956
0,0,40,20,40,2.6835370987442175,1.418766092263972
0,0,40,40,20,7.126901274064092,2.4514150655358993
0,0,40,60,0,11.119872976630683,3.6988554354699636
0,0,60,0,40,-1.1778043711028419,1.7790786471148492
0,0,60,20,20,2.9634665760163137,1.4310343201900355
0,0,60,40,0,6.728768587626702,2.273653410298618
0,0,80,0,20,-0.37944678281403826,1.6497506099928325
0,0,80,20,0,3.167483384756324,1.4523758257061548
0,0,100,0,0,0.22109917877447885,1.5778343752330029
0,20,0,0,80,-4.914280779030087,2.5509810001879694
0,20,0,20,60,3.5441550812610143,1.7649024528037582
0,20,0,40,40,10.561387167269737,3.815652177028523
0,20,0,60,20,16.47684130599848,5.680006650982052
0,20,0,80,0,21.53111512442989,7.227269501210289
0,20,20,0,60,-2.540199667758012,1.9285137405473118
0,20,20,20,40,3.76129061250169,1.6190996625266973
0,20,20,40,20,9.224638187792781,3.194578680201131
0,20,20,60,0,14.006634238439265,4.7256868068094695
0,20,40,0,40,-1.1249549503166418,1.6493576054835442
0,20,40,20,20,3.8957888608577393,1.5732056746632523
0,20,40,40,0,8.368882161368735,2.818592951393106
0,20,60,0,20,-0.18526252663817344,1.52274937511051
0,20,60,20,0,3.987283083852177,1.5635716697584294
0,20,80,0,0,0.484092784450363,1.4684486326836022
0,40,0,0,60,-2.9865190286498535,1.8722713757862375
0,40,0,20,40,5.6089776169468895,2.2937761269265606
0,40,0,40,20,12.688849754379461,4.512579907932082
0,40,0,60,0,18.621488560671885,6.372088811996042
0,40,20,0,40,-1.0412161937393876,1.4923647415664545
0,40,20,20,20,5.3330867166065685,2.0016983604386906
0,40,20,40,0,10.836660252175667,3.7170022753351746
0,40,40,0,20,0.09893023439870204,1.3745052480989728
0,40,40,20,0,5.1646455744908,1.8645536400209626
0,40,60,0,0,0.848087431693993,1.3514735415516237
0,60,0,0,40,-0.8883248730964296,1.4137102400671693
0,60,0,20,20,7.837997801640319,3.0171490700423007
0,60,0,40,0,14.970036877689028,5.280000270289474
0,60,20,0,20,0.5545921258220029,1.2635027929598777
0,60,20,20,0,6.998745972030409,2.516766282993416
0,60,40,0,0,1.3850940078452663,1.2713789683446641
0,80,0,0,20,1.4039487595584055,1.5311607611130966
0,80,0,20,0,10.251612477161176,3.8665688450066606
0,80,20,0,0,2.256919801277515,1.4036796939181286
0,100,0,0,0,3.9185357050786283,2.232726513106019
20,0,0,0,80,-2.7251572869085647,2.169268214419353
20,0,0,20,60,3.9906963406668683,2.3702804261633994
20,0,0,40,40,9.76054022835311,3.991657734760137
20,0,0,60,20,14.771108006031858,5.544400973215561
20,0,0,80,0,19.163021326860434,6.890149927226295
20,0,20,0,60,-1.193965049386736,1.5840128912652411
20,0,20,20,40,4.086158552128477,1.9457666241848157
20,0,20,40,20,8.762737935012506,3.3344724287147063
20,0,20,60,0,12.933660710225972,4.674965611901144
20,0,40,0,40,-0.20023939234615282,1.2941514504812255
20,0,40,20,20,4.149805096177344,1.71881770159137
20,0,40,40,0,8.081492341135444,2.9111462993283364
20,0,60,0,20,0.4967549152090818,1.1623262968758767
20,0,60,20,0,4.195269396747948,1.59575551979202
20,0,80,0,0,1.0126603240844332,1.1155377803105129
20,20,0,0,60,-1.1258773648768987,2.1544190936380927
20,20,0,20,40,5.67252422401052,2.9643183924168817
20,20,0,40,20,11.485848338055646,4.638670210036293
20,20,0,60,0,16.513735405244162,6.172001230536868
20,20,20,0,40,0.09606950419781457,1.5956348414314698
20,20,20,20,20,5.425769466825109,2.417920633588617
20,20,20,40,0,10.132169422757736,3.8457659051022053
20,20,40,0,20,0.8798793308346283,1.3297327273358803
20,20,40,20,0,5.262929726449044,2.104461645228234
20,20,60,0,0,1.4253737851377621,1.2139267745421245
20,40,0,0,40,0.5842994857427205,2.4132968107363686
20,40,0,20,20,7.461573658255524,3.6410986571598407
20,40,0,40,0,13.31294597349644,5.327798842287761
20,40,20,0,20,1.4554916931171569,1.8231156887933027
20,40,20,20,0,6.83284693030604,2.9460636321457865
20,40,40,0,0,2.007450572806573,1.5339009348987451
20,60,0,0,20,2.4173222332544175,2.9112206140689367
20,60,0,20,0,9.368435793306272,4.384118211308098
20,60,20,0,0,2.890054509924931,2.2230471306569783
20,80,0,0,0,4.38692044126676,3.5857894801438563
40,0,0,0,60,0.09287241099727547,3.7725157593745964
40,0,0,20,40,5.7155845766004125,4.219417072749352
40,0,0,40,20,10.646825345520847,5.264600941386561
40,0,0,60,0,15.00675980171251,6.392899760909304
40,0,20,0,40,0.9147071500407026,2.930522495126924
40,0,20,20,20,5.493883099229723,3.436766817755
40,0,20,40,0,9.604884130874074,4.4015882619109465
40,0,40,0,20,1.4766210073276684,2.40453476325432
40,0,40,20,0,5.339091459954412,2.9244494696740624
40,0,60,0,0,1.8850846808584578,2.0604550293300514
40,20,0,0,40,1.534402765563875,4.123366274763239
40,20,0,20,20,7.2097298826191505,4.762227507959298
40,20,0,40,0,12.169718813770434,5.848332827808168
40,20,20,0,20,2.0981590583393577,3.214906663279916
40,20,20,20,0,6.71188323938934,3.8753081268224805
40,20,40,0,0,2.4801709612460408,2.647992360801576
40,40,0,0,20,3.060571535592221,4.577927520225032
40,40,0,20,0,8.785540978366688,5.359038970255909
40,40,20,0,0,3.3374288508312207,3.5771233602016297
40,60,0,0,0,4.679058399794185,5.12513598241279
60,0,0,0,40,2.1981842766080835,5.417681948506447
60,0,0,20,20,7.02940141485968,5.7604886449139965
60,0,0,40,0,11.33341746303073,6.462489919071579
60,0,20,0,20,2.579705176551263,4.367342060099775
60,0,20,20,0,6.619775739041808,4.772849926937744
60,0,40,0,0,2.851430300918084,3.657874502071524
60,20,0,0,20,3.5051600812943806,5.830462676174847
60,20,0,20,0,8.37203526636037,6.26072631365122
60,20,20,0,0,3.670336638859438,4.698684157112226
60,40,0,0,0,4.8786759232945185,6.30261676605382
80,0,0,0,20,3.830808802515009,6.784477510322465
80,0,0,20,0,8.06344938252866,7.01855568891442
80,0,20,0,0,3.927726726377408,5.606044882194296
80,20,0,0,0,5.023716615650651,7.203565364394265
100,0,0,0,0,5.133871216403721,7.9099297273949
