ST,CB,PB,GO,CA,returns
0,0,0,0,100,-7.403200826019618
0,0,0,20,80,0.9541733320786813
0,0,0,40,60,7.950557524418699
0,0,0,60,40,13.893373831028702
0,0,0,80,20,19.003939641715604
0,0,0,100,0,23.445640847516515
0,0,20,0,80,-4.389086595492286
0,0,20,20,60,1.861060222745632
0,0,20,40,40,7.3100370128456325
0,0,20,60,20,12.102611319982591
0,0,20,80,0,16.35065373667198
0,0,40,0,60,-2.5579907415538585
0,0,40,20,40,2.43185937148339
0,0,40,40,20,6.894346523656171
0,0,40,60,0,10.908877782632313
0,0,60,0,40,-1.3276842083184803
0,0,60,20,20,2.8241925167892585
0,0,60,40,0,6.602783133220084
0,0,80,0,20,-0.44415614836438005
0,0,80,20,0,3.110442756272305
0,0,100,0,0,0.22109917877447885
0,20,0,0,80,-5.557228267882482
0,20,0,20,60,2.9448523668176882
0,20,0,40,40,10.014664329911655
0,20,0,60,20,15.986013063271093
0,20,0,80,0,21.096452294223873
0,20,20,0,60,-2.914339968780682
0,20,20,20,40,3.4120656385095267
0,20,20,40,20,8.905688852866787
0,20,20,60,0,13.720811317538775
0,20,40,0,40,-1.334464671397719
0,20,40,20,20,3.7020874245399398
0,20,40,40,0,8.194578230356388
0,20,60,0,20,-0.283643914500091
0,20,60,20,0,3.8996504886026755
0,20,80,0,0,0.4657559365545163
0,40,0,0,60,-3.551636714455592
0,40,0,20,40,5.091211623140756
0,40,0,40,20,12.22611175936729
0,40,0,60,0,18.216044019693005
0,40,20,0,40,-1.3452021124655247
0,40,20,20,20,5.055141396093906
0,40,20,40,0,10.589654479133765
0,40,40,0,20,-0.0487759863954522
0,40,40,20,0,5.033078059255029
0,40,60,0,0,0.8043715846994575
0,60,0,0,40,-1.364787543382418
0,60,0,20,20,7.412256620348881
0,60,0,40,0,14.601259987707452
0,60,20,0,20,0.3276888500008484
0,60,20,20,0,6.798736447767342
0,60,40,0,0,1.3039361558230709
0,80,0,0,20,1.0290542034039971
0,80,0,20,0,9.93021771193344
0,80,20,0,0,2.114975159687735
0,100,0,0,0,3.660737303428719
20,0,0,0,80,-3.2113953848004204
20,0,0,20,60,3.5336756266988996
20,0,0,40,40,9.339091083866974
20,0,0,60,20,14.388419582739992
20,0,0,80,0,18.820337751009227
20,0,20,0,60,-1.4842501557379317
20,0,20,20,40,3.814034015683882
20,0,20,40,20,8.512887031298783
20,0,20,60,0,12.708589096530712
20,0,40,0,40,-0.3609543498910351
20,0,40,20,20,4.001273952969899
20,0,40,40,0,7.948030938779641
20,0,60,0,20,0.4280496157065673
20,0,60,20,0,4.135180902784107
20,0,80,0,0,1.0126603240844332
20,20,0,0,60,-1.5425078191640635
20,20,0,20,40,5.28680594273721
20,20,0,40,20,11.136820312975711
20,20,0,60,0,16.204085111218433
20,20,20,0,40,-0.13210039630118892
20,20,20,20,20,5.216313213703097
20,20,20,40,0,9.945288006393307
20,20,40,0,20,0.7743438634962093
20,20,40,20,0,5.1697229808817795
20,20,60,0,0,1.4059941279638977
20,40,0,0,40,0.24473272610176064
20,40,0,20,20,7.1543476420286325
20,40,0,40,0,13.043205520269751
20,40,20,0,20,1.294507629879413
20,40,20,20,0,6.690942193900776
20,40,40,0,0,1.9607385175929235
20,60,0,0,20,2.1633789919493234
20,60,0,20,0,9.147878448396574
20,60,20,0,0,2.8018982971158066
20,80,0,0,0,4.228476362123942
40,0,0,0,60,-0.22508937372192167
40,0,0,20,40,5.419424074405302
40,0,0,40,20,10.376907472252004
40,0,0,60,0,14.765599308186072
40,0,20,0,40,0.741484883275928
40,0,20,20,20,5.334782510246121
40,0,20,40,0,9.463003568511109
40,0,40,0,20,1.4033991879829462
40,0,40,20,0,5.275610999432522
40,0,60,0,0,1.8850846808584578
40,20,0,0,40,1.283953608091333
40,20,0,20,20,6.981740064446831
40,20,0,40,0,11.968303606922309
40,20,20,0,20,1.9843552987550275
40,20,20,20,0,6.612345050289925
40,20,40,0,0,2.4596227345580037
40,40,0,0,20,2.8837006191612558
40,40,0,20,0,8.631536125760949
40,40,20,0,0,3.2872796569795115
40,60,0,0,0,4.582582968870594
60,0,0,0,40,2.0103669594968436
60,0,0,20,20,6.858119989812872
60,0,0,40,0,11.181984007709348
60,0,20,0,20,2.501338473069926
60,0,20,20,0,6.552497451580032
60,0,40,0,0,2.851430300918084
60,20,0,0,20,3.3816934845687228
60,20,0,20,0,8.265242766670811
60,20,20,0,0,3.6484698730634326
60,40,0,0,0,4.8245435968224575
80,0,0,0,20,3.7465294043715183
80,0,0,20,0,7.991889928548973
80,0,20,0,0,3.927726726377408
80,20,0,0,0,5.000350491856928
100,0,0,0,0,5.133871216403721
