Date,Price,Vol,Change
12/31/2020,178.36,7.54M,+0.37%
12/30/2020,177.70,5.91M,+0.77%
12/29/2020,176.35,5.98M,+0.36%
12/28/2020,175.71,7.78M,-0.36%
12/24/2020,176.35,3.70M,+0.40%
12/23/2020,175.65,6.54M,+0.66%
12/22/2020,174.49,9.45M,-0.79%
12/21/2020,175.88,8.17M,-0.32%
12/18/2020,176.44,6.79M,-0.17%
12/17/2020,176.74,9.48M,+1.05%
12/16/2020,174.90,8.17M,+0.55%
12/15/2020,173.94,6.85M,+1.40%
12/14/2020,171.54,7.64M,-0.55%
12/11/2020,172.49,6.08M,+0.19%
12/10/2020,172.17,6.56M,-0.19%
12/09/2020,172.50,10.74M,-1.71%
12/08/2020,175.50,6.35M,+0.35%
12/07/2020,174.89,10.56M,+1.49%
12/04/2020,172.32,10.10M,-0.28%
12/03/2020,172.81,10.46M,+0.79%
12/02/2020,171.46,9.20M,+0.75%
12/01/2020,170.18,13.56M,+2.11%
11/30/2020,166.67,13.21M,-0.67%
11/27/2020,167.79,10.57M,-1.01%
11/25/2020,169.51,10.29M,-0.05%
11/24/2020,169.59,19.50M,-1.53%
11/23/2020,172.23,15.51M,-1.97%
11/20/2020,175.69,6.38M,+0.30%
11/19/2020,175.16,6.97M,-0.19%
11/18/2020,175.49,7.38M,-0.57%
11/17/2020,176.50,8.23M,-0.37%
11/16/2020,177.15,8.36M,-0.01%
11/13/2020,177.16,6.47M,+0.68%
11/12/2020,175.96,7.18M,+0.61%
11/11/2020,174.90,9.01M,-0.43%
11/10/2020,175.66,11.73M,+0.33%
11/09/2020,175.08,29.80M,-4.43%
11/06/2020,183.19,10.38M,+0.14%
11/05/2020,182.93,16.10M,+2.30%
11/04/2020,178.82,11.12M,-0.06%
11/03/2020,178.92,7.58M,+0.57%
11/02/2020,177.91,6.50M,+0.97%
10/30/2020,176.20,7.30M,+0.46%
10/29/2020,175.40,8.47M,-0.41%
10/28/2020,176.13,11.73M,-1.61%
10/27/2020,179.02,5.83M,+0.26%
10/26/2020,178.55,5.11M,-0.05%
10/23/2020,178.64,5.92M,-0.11%
10/22/2020,178.83,8.38M,-0.98%
10/21/2020,180.60,7.55M,+0.75%
10/20/2020,179.25,7.12M,+0.48%
10/19/2020,178.39,6.08M,+0.05%
10/16/2020,178.30,7.26M,-0.35%
10/15/2020,178.92,6.82M,+0.36%
10/14/2020,178.27,9.10M,+0.31%
10/13/2020,177.72,8.38M,-1.57%
10/12/2020,180.56,4.84M,-0.29%
10/09/2020,181.08,15.98M,+1.82%
10/08/2020,177.85,6.53M,+0.36%
10/07/2020,177.22,6.41M,-0.05%
10/06/2020,177.30,8.63M,-1.18%
10/05/2020,179.41,6.97M,+0.49%
10/04/2020,178.54,,0.00%
10/03/2020,178.54,,0.00%
10/02/2020,178.54,7.49M,-0.09%
10/01/2020,178.70,10.40M,+0.89%
09/30/2020,177.12,8.37M,-0.60%
09/29/2020,178.19,8.76M,+0.84%
09/28/2020,176.70,7.11M,+1.01%
09/27/2020,174.94,,0.00%
09/26/2020,174.94,,0.00%
09/25/2020,174.94,6.78M,-0.28%
09/24/2020,175.44,11.76M,+0.37%
09/23/2020,174.79,18.13M,-2.16%
09/22/2020,178.65,7.98M,-0.48%
09/21/2020,179.52,17.44M,-2.01%
09/18/2020,183.20,9.96M,+0.13%
09/17/2020,182.96,8.84M,-0.55%
09/16/2020,183.97,12.72M,+0.28%
09/15/2020,183.45,7.99M,-0.24%
09/14/2020,183.89,9.71M,+0.79%
09/13/2020,182.45,,0.00%
09/11/2020,182.45,7.66M,-0.01%
09/10/2020,182.46,9.14M,-0.32%
09/09/2020,183.05,8.42M,+0.97%
09/08/2020,181.29,13.23M,-0.19%
09/04/2020,181.64,11.57M,+0.28%
09/03/2020,181.14,12.18M,-0.81%
09/02/2020,182.62,11.54M,-1.31%
09/01/2020,185.05,10.69M,+0.12%
08/31/2020,184.83,10.25M,+0.24%
08/30/2020,184.39,,0.00%
08/28/2020,184.39,13.20M,+1.74%
08/27/2020,181.24,16.30M,-1.16%
08/26/2020,183.36,12.72M,+1.18%
08/25/2020,181.22,10.06M,+0.12%
08/24/2020,181.00,11.61M,-0.57%
08/23/2020,182.03,,0.00%
08/21/2020,182.03,12.71M,-0.80%
08/20/2020,183.50,16.69M,+0.69%
08/19/2020,182.24,24.65M,-3.16%
08/18/2020,188.18,16.29M,+0.90%
08/17/2020,186.50,15.71M,+2.17%
08/14/2020,182.54,11.79M,-0.43%
08/13/2020,183.33,18.60M,+2.36%
08/12/2020,179.10,28.78M,-0.47%
08/11/2020,179.94,45.35M,-5.37%
08/10/2020,190.15,19.05M,-0.35%
08/09/2020,190.81,,0.00%
08/08/2020,190.81,,0.00%
08/07/2020,190.81,24.57M,-1.59%
08/06/2020,193.89,20.64M,+1.33%
08/05/2020,191.35,27.19M,+0.93%
08/04/2020,189.59,20.77M,+2.13%
08/03/2020,185.64,12.90M,+0.11%
08/02/2020,185.43,,0.00%
07/31/2020,185.43,15.89M,+0.91%
07/30/2020,183.76,18.06M,-0.74%
07/29/2020,185.13,25.64M,+0.75%
07/28/2020,183.75,21.16M,+0.83%
07/27/2020,182.23,21.12M,+1.98%
07/26/2020,178.70,,0.00%
07/25/2020,178.70,,0.00%
07/24/2020,178.70,15.60M,+0.86%
07/23/2020,177.18,23.01M,+0.88%
07/22/2020,175.63,18.71M,+1.52%
07/21/2020,173.00,12.86M,+1.21%
07/20/2020,170.94,10.10M,+0.48%
07/17/2020,170.12,10.30M,+0.82%
07/16/2020,168.73,10.24M,-0.95%
07/15/2020,170.34,7.53M,+0.09%
07/14/2020,170.19,9.81M,+0.47%
07/13/2020,169.40,11.10M,+0.12%
07/12/2020,169.19,,0.00%
07/11/2020,169.19,,0.00%
07/10/2020,169.19,8.22M,-0.26%
07/09/2020,169.63,13.33M,-0.27%
07/08/2020,170.09,11.66M,+0.62%
07/07/2020,169.04,11.63M,+0.63%
07/06/2020,167.98,7.27M,+0.60%
07/05/2020,166.98,,0.00%
07/04/2020,166.98,,0.00%
07/02/2020,166.98,8.75M,+0.22%
07/01/2020,166.62,13.21M,-0.45%
06/30/2020,167.37,12.76M,+0.44%
06/29/2020,166.63,6.74M,+0.05%
06/26/2020,166.54,9.75M,+0.45%
06/25/2020,165.80,7.09M,-0.06%
06/24/2020,165.90,10.90M,-0.35%
06/23/2020,166.48,12.14M,+0.84%
06/22/2020,165.09,12.39M,+0.65%
06/19/2020,164.03,12.19M,+1.10%
06/18/2020,162.24,5.40M,-0.20%
06/17/2020,162.56,4.76M,+0.19%
06/16/2020,162.25,7.97M,-0.05%
06/15/2020,162.33,8.54M,-0.18%
06/12/2020,162.62,6.90M,+0.14%
06/11/2020,162.39,11.67M,-0.72%
06/10/2020,163.57,13.01M,+1.43%
06/09/2020,161.26,9.05M,+0.96%
06/08/2020,159.72,9.24M,+1.08%
06/07/2020,158.01,,0.00%
06/05/2020,158.01,16.02M,-2.03%
06/04/2020,161.28,10.09M,+1.05%
06/03/2020,159.60,17.00M,-1.85%
06/02/2020,162.60,10.39M,-0.65%
06/01/2020,163.66,8.16M,+0.46%
05/29/2020,162.91,12.58M,+0.74%
05/28/2020,161.72,9.76M,+0.34%
05/27/2020,161.18,13.06M,+0.18%
05/26/2020,160.89,13.97M,-1.42%
05/22/2020,163.21,8.54M,+0.59%
05/21/2020,162.25,11.79M,-1.46%
05/20/2020,164.65,10.67M,+0.24%
05/19/2020,164.26,8.53M,+0.97%
05/18/2020,162.69,14.14M,-0.76%
05/15/2020,163.93,13.92M,+0.56%
05/14/2020,163.01,17.08M,+0.89%
05/13/2020,161.58,10.95M,+0.96%
