Date,Price,Vol,Change
12/31/2020,89.94,,+0.29%
12/30/2020,89.68,,-0.35%
12/29/2020,89.99,,-0.38%
12/28/2020,90.34,,+0.02%
12/25/2020,90.32,,0.00%
12/24/2020,90.32,,-0.10%
12/23/2020,90.41,,-0.27%
12/22/2020,90.65,,+0.68%
12/21/2020,90.04,,+0.03%
12/18/2020,90.02,,+0.22%
12/17/2020,89.82,,-0.69%
12/16/2020,90.45,,-0.03%
12/15/2020,90.47,,-0.26%
12/14/2020,90.71,,-0.29%
12/11/2020,90.98,,+0.17%
12/10/2020,90.82,,-0.29%
12/09/2020,91.09,,+0.13%
12/08/2020,90.96,,+0.19%
12/07/2020,90.79,,+0.10%
12/04/2020,90.70,,-0.01%
12/03/2020,90.71,,-0.44%
12/02/2020,91.12,,-0.21%
12/01/2020,91.31,,-0.61%
11/30/2020,91.87,,+0.09%
11/27/2020,91.79,,-0.22%
11/26/2020,91.99,,0.00%
11/25/2020,91.99,,-0.25%
11/24/2020,92.23,,-0.30%
11/23/2020,92.50,,+0.12%
11/20/2020,92.39,,+0.11%
11/19/2020,92.29,,-0.02%
11/18/2020,92.32,,-0.11%
11/17/2020,92.42,,-0.24%
11/16/2020,92.64,,-0.12%
11/13/2020,92.75,,-0.22%
11/12/2020,92.96,,-0.09%
11/11/2020,93.04,,+0.32%
11/10/2020,92.75,,+0.03%
11/09/2020,92.72,,+0.54%
11/06/2020,92.23,,-0.32%
11/05/2020,92.53,,-0.94%
11/04/2020,93.41,,-0.16%
11/03/2020,93.55,,-0.61%
11/02/2020,94.13,,+0.10%
10/30/2020,94.04,,+0.09%
10/29/2020,93.96,,+0.59%
10/28/2020,93.40,,+0.50%
10/27/2020,92.94,,-0.11%
10/26/2020,93.04,,+0.30%
10/23/2020,92.77,,-0.20%
10/22/2020,92.95,,+0.37%
10/21/2020,92.61,,-0.49%
10/20/2020,93.07,,-0.39%
10/19/2020,93.43,,-0.27%
10/16/2020,93.68,,-0.19%
10/15/2020,93.86,,+0.51%
10/14/2020,93.38,,-0.16%
10/13/2020,93.53,,+0.50%
10/12/2020,93.07,,+0.01%
10/09/2020,93.06,,-0.59%
10/08/2020,93.61,,-0.03%
10/07/2020,93.63,,-0.06%
10/06/2020,93.69,,+0.18%
10/05/2020,93.51,,-0.35%
10/02/2020,93.84,,+0.14%
10/01/2020,93.71,,-0.19%
09/30/2020,93.89,,0.00%
09/29/2020,93.89,,-0.41%
09/28/2020,94.28,,-0.38%
09/25/2020,94.64,,+0.31%
09/24/2020,94.35,,-0.04%
09/23/2020,94.39,,+0.43%
09/22/2020,93.99,,+0.35%
09/21/2020,93.66,,+0.79%
09/18/2020,92.93,,-0.05%
09/17/2020,92.97,,-0.26%
09/16/2020,93.21,,+0.18%
09/15/2020,93.05,,0.00%
09/14/2020,93.05,,-0.30%
09/11/2020,93.33,,0.00%
09/10/2020,93.34,,+0.09%
09/09/2020,93.25,,-0.20%
09/08/2020,93.44,,+0.78%
09/07/2020,92.72,,0.00%
09/04/2020,92.72,,-0.02%
09/03/2020,92.74,,-0.12%
09/02/2020,92.85,,+0.55%
09/01/2020,92.34,,+0.21%
08/31/2020,92.14,,-0.25%
08/28/2020,92.37,,-0.68%
08/27/2020,93.00,,0.00%
08/26/2020,93.01,,-0.01%
08/25/2020,93.02,,-0.30%
08/24/2020,93.30,,+0.05%
08/21/2020,93.25,,+0.49%
08/20/2020,92.79,,-0.10%
08/19/2020,92.89,,+0.67%
08/18/2020,92.27,,-0.62%
08/17/2020,92.85,,-0.26%
08/14/2020,93.10,,-0.26%
08/13/2020,93.33,,-0.12%
08/12/2020,93.44,,-0.20%
08/11/2020,93.63,,+0.05%
08/10/2020,93.58,,+0.16%
08/07/2020,93.43,,+0.70%
08/06/2020,92.79,,-0.09%
08/05/2020,92.87,,-0.55%
08/04/2020,93.38,,-0.17%
08/03/2020,93.54,,+0.21%
07/31/2020,93.35,,+0.35%
07/30/2020,93.02,,-0.46%
07/29/2020,93.45,,-0.26%
07/28/2020,93.70,,+0.03%
07/27/2020,93.67,,-0.81%
07/24/2020,94.43,,-0.27%
07/23/2020,94.69,,-0.31%
07/22/2020,94.99,,-0.14%
07/21/2020,95.12,,-0.75%
07/20/2020,95.83,,-0.11%
07/17/2020,95.94,,-0.42%
07/16/2020,96.35,,+0.28%
07/15/2020,96.08,,-0.18%
07/14/2020,96.26,,-0.21%
07/13/2020,96.46,,-0.19%
07/10/2020,96.65,,-0.05%
07/09/2020,96.70,,+0.28%
07/08/2020,96.43,,-0.47%
07/07/2020,96.88,,+0.16%
07/06/2020,96.72,,-0.46%
07/03/2020,97.17,,-0.15%
07/02/2020,97.32,,+0.12%
07/01/2020,97.20,,-0.20%
06/30/2020,97.39,,-0.15%
06/29/2020,97.54,,+0.11%
06/26/2020,97.43,,0.00%
06/25/2020,97.43,,+0.29%
06/24/2020,97.15,,+0.52%
06/23/2020,96.65,,-0.40%
06/22/2020,97.04,,-0.60%
06/19/2020,97.62,,+0.21%
06/18/2020,97.42,,+0.27%
06/17/2020,97.16,,+0.21%
06/16/2020,96.96,,+0.26%
06/15/2020,96.71,,-0.63%
06/12/2020,97.32,,+0.61%
06/11/2020,96.73,,+0.81%
06/10/2020,95.96,,-0.38%
06/09/2020,96.32,,-0.30%
06/08/2020,96.62,,-0.33%
06/05/2020,96.94,,+0.27%
06/04/2020,96.68,,-0.62%
06/03/2020,97.28,,-0.41%
06/02/2020,97.67,,-0.16%
06/01/2020,97.83,,-0.52%
05/29/2020,98.34,,-0.04%
05/28/2020,98.38,,-0.69%
05/27/2020,99.06,,+0.16%
05/26/2020,98.91,,-0.96%
05/25/2020,99.86,,0.00%
05/22/2020,99.86,,+0.50%
05/21/2020,99.37,,+0.25%
05/20/2020,99.12,,-0.25%
05/19/2020,99.37,,-0.29%
05/18/2020,99.67,,-0.73%
05/15/2020,100.40,,-0.06%
05/14/2020,100.47,,+0.22%
05/13/2020,100.24,,+0.31%
05/12/2020,99.93,,-0.30%
05/11/2020,100.24,,+0.50%
05/08/2020,99.73,,-0.16%
05/07/2020,99.89,,-0.20%
05/06/2020,100.09,,+0.38%
05/05/2020,99.71,,+0.23%
05/04/2020,99.48,,+0.41%
05/01/2020,99.08,,+0.06%
04/30/2020,99.02,,-0.55%
04/29/2020,99.57,,-0.30%
04/28/2020,99.86,,-0.18%
04/27/2020,100.04,,-0.34%
04/24/2020,100.38,,-0.05%
04/23/2020,100.43,,+0.04%
04/22/2020,100.39,,+0.13%
04/21/2020,100.26,,+0.30%
04/20/2020,99.96,,+0.17%
04/17/2020,99.78,,-0.24%
04/16/2020,100.03,,+0.57%
04/15/2020,99.46,,+0.58%
04/14/2020,98.89,,-0.46%
04/13/2020,99.35,,-0.17%
04/10/2020,99.52,,0.00%
04/09/2020,99.52,,-0.60%
04/08/2020,100.12,,+0.22%
04/07/2020,99.90,,-0.78%
04/06/2020,100.68,,+0.11%
04/03/2020,100.58,,+0.40%
04/02/2020,100.18,,+0.51%
04/01/2020,99.67,,+0.63%
03/31/2020,99.05,,-0.13%
03/30/2020,99.18,,+0.83%
03/27/2020,98.36,,-0.99%
03/26/2020,99.35,,-1.68%
03/25/2020,101.05,,-0.97%
03/24/2020,102.04,,-0.44%
03/23/2020,102.49,,-0.32%
03/20/2020,102.82,,+0.06%
03/19/2020,102.75,,+1.58%
03/18/2020,101.16,,+1.59%
03/17/2020,99.57,,+1.54%
03/16/2020,98.07,,-0.69%
03/13/2020,98.75,,+1.31%
03/12/2020,97.47,,+1.00%
03/11/2020,96.51,,+0.10%
03/10/2020,96.41,,+1.60%
03/09/2020,94.89,,-1.10%
03/06/2020,95.95,,-0.90%
03/05/2020,96.82,,-0.53%
03/04/2020,97.34,,+0.19%
03/03/2020,97.15,,-0.21%
03/02/2020,97.36,,-0.79%
02/28/2020,98.13,,-0.38%
02/27/2020,98.51,,-0.49%
02/26/2020,99.00,,+0.03%
02/25/2020,98.97,,-0.39%
02/24/2020,99.36,,+0.10%
02/21/2020,99.26,,-0.60%
02/20/2020,99.86,,+0.16%
02/19/2020,99.71,,+0.27%
02/18/2020,99.44,,+0.44%
02/17/2020,99.00,,-0.12%
02/14/2020,99.12,,+0.06%
02/13/2020,99.07,,+0.02%
02/12/2020,99.05,,+0.33%
02/11/2020,98.72,,-0.11%
02/10/2020,98.83,,+0.15%
02/07/2020,98.68,,+0.19%
02/06/2020,98.50,,+0.20%
02/05/2020,98.30,,+0.35%
02/04/2020,97.96,,+0.16%
02/03/2020,97.80,,+0.42%
01/31/2020,97.39,,-0.49%
01/30/2020,97.87,,-0.12%
01/29/2020,97.99,,-0.03%
01/28/2020,98.02,,+0.06%
01/27/2020,97.96,,+0.11%
01/24/2020,97.85,,+0.16%
01/23/2020,97.69,,+0.16%
01/22/2020,97.53,,0.00%
01/21/2020,97.53,,-0.08%
01/20/2020,97.61,,-0.03%
01/17/2020,97.64,,+0.33%
01/16/2020,97.32,,+0.09%
01/15/2020,97.23,,-0.14%
01/14/2020,97.37,,+0.03%
01/13/2020,97.34,,-0.02%
01/10/2020,97.36,,-0.09%
01/09/2020,97.45,,+0.15%
01/08/2020,97.30,,+0.31%
01/07/2020,97.00,,+0.34%
01/06/2020,96.67,,-0.18%
01/03/2020,96.84,,-0.01%
01/02/2020,96.85,,+0.48%
01/01/2020,96.39,,0.00%
12/31/2019,96.39,,-0.36%
